name,number,image,type.0,type.1,type.2,hp,attack,defense,sp_atk,sp_def,speed,heightM,weightKG,evo_from,evo_to.0,evo_to.1,evo_to.2,evo_to.3,evo_to.4,evo_to.5,evo_to.6,evo_to.7
Bulbasaur,1,001 Bulbasaur.jpg,Grass,Poison,,45,49,49,65,65,45,0.7,6.9,,Ivysaur,,,,,,,
Ivysaur,2,002 Ivysaur.jpg,Grass,Poison,,60,62,63,80,80,60,1,13,Bulbasaur,Venusaur,,,,,,,
Venusaur,3,003 Venusaur.jpg,Grass,Poison,,80,82,83,100,100,80,2,100,Ivysaur,Mega Venusaur,,,,,,,
Mega Venusaur,3,003.5 Mega Venusaur.jpg,Grass,Poison,,80,100,123,122,120,80,2.4,155.5,Venusaur,,,,,,,,
Charmander,4,004 Charmander.jpg,Fire,,,39,52,43,60,50,65,0.6,8.5,,Charmeleon,,,,,,,
Charmeleon,5,005 Charmeleon.jpg,Fire,,,58,64,58,80,65,80,11,19,Charmander,Charizard,,,,,,,
Charizard,6,006 Charizard.jpg,Fire,Flying,,78,84,78,109,85,100,1.7,90.5,Charmeleon,Mega Charizard X,Mega Charizard Y,Mega Charizard Z (X&Y),,,,,
Mega Charizard X,6,006.5 Mega Charizard X.jpg,Fire,Flying,,78,130,111,130,85,100,1.7,110.5,Charizard,,,,,,,,
Mega Charizard Y,6,006.5 Mega Charizard Y.jpg,Fire,Dragon,,78,104,78,159,115,100,1.7,100.5,Charizard,,,,,,,,
Mega Charizard Z (X&Y),6,006.5 Mega Charizard Z (X&Y).jpg,Fire,Flying,Dragon,78,130,111,159,115,100,1.7,110.5,Charizard,,,,,,,,
Squirtle,7,007 Squirtle.jpg,Water,,,44,48,65,50,64,43,0.5,9,,Wartortle,,,,,,,
Wartortle,8,008 Wartortle.jpg,Water,,,59,63,80,65,80,58,1,22.5,Squirtle,Blastoise,,,,,,,
Blastoise,9,009 Blastoise.jpg,Water,,,79,83,100,85,105,78,1.6,85.5,Wartortle,Mega Blastoise,,,,,,,
Mega Blastoise,9,009.5 Mega Blastoise.jpg,Water,,,79,103,120,135,115,78,1.6,85.5,Blastoise,,,,,,,,
