name,number,image,type.0,type.1,type.2,hp,attack,defense,sp_atk,sp_def,speed,heightM,weightKG,evo_from,evo_to.0,evo_to.1,evo_to.2,evo_to.3,evo_to.4,evo_to.5,evo_to.6,evo_to.7
Bulbasaur,1,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F001%20Bulbasaur.jpg?alt=media&token=10ddbd1c-53ce-4ff4-ab6a-13af442e4413,Grass,Poison,,45,49,49,65,65,45,0.7,6.9,,Ivysaur,,,,,,,
Ivysaur,2,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F002%20Ivysaur.jpg?alt=media&token=517442c2-a37d-4ba4-8c00-cc050cedea71,Grass,Poison,,60,62,63,80,80,60,1,13,Bulbasaur,Venusaur,,,,,,,
Venusaur,3,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F003%20Venusaur.jpg?alt=media&token=9f53559b-ee72-4b31-b425-d9622cbdbed9,Grass,Poison,,80,82,83,100,100,80,2,100,Ivysaur,Mega Venusaur,,,,,,,
Mega Venusaur,3,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F003.5%20Mega%20Venusaur.jpg?alt=media&token=9595e93e-7646-43d3-92ed-2605a9a8f96e,Grass,Poison,,80,100,123,122,120,80,2.4,155.5,Venusaur,,,,,,,,
Charmander,4,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F004%20Charmander.jpg?alt=media&token=31403a44-097a-4357-b191-57724fafd12e,Fire,,,39,52,43,60,50,65,0.6,8.5,,Charmeleon,,,,,,,
Charmeleon,5,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F005%20Charmeleon.jpg?alt=media&token=9199b752-2c78-4dc0-8dc4-5ddcc097725c,Fire,,,58,64,58,80,65,80,11,19,Charmander,Charizard,,,,,,,
Charizard,6,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F006%20Charizard.jpg?alt=media&token=da16d866-6285-473e-9533-2aabb8269045,Fire,Flying,,78,84,78,109,85,100,1.7,90.5,Charmeleon,Mega Charizard X,Mega Charizard Y,Mega Charizard Z (X&Y),,,,,
Mega Charizard X,6,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F006.5%20Mega%20Charizard%20X.jpg?alt=media&token=730cc9e5-ba2e-4b20-97ee-5c6f994b228d,Fire,Dragon,,78,130,111,130,85,100,1.7,110.5,Charizard,,,,,,,,
Mega Charizard Y,6,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F006.5%20Mega%20Charizard%20Y.jpg?alt=media&token=3afe2383-c8e0-4e43-a3d3-58c40a67b12f,Fire,Flying,,78,104,78,159,115,100,1.7,100.5,Charizard,,,,,,,,
Mega Charizard Z (X&Y),6,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F006.5%20Mega%20Charizard%20Z%20(X%26Y).jpg?alt=media&token=11249411-751b-4c8f-bf6f-b819b818b438,Fire,Flying,Dragon,78,130,111,159,115,100,1.7,110.5,Charizard,,,,,,,,
Squirtle,7,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F007%20Squirtle.jpg?alt=media&token=b6a8912d-a688-4093-8940-dc22d494270e,Water,,,44,48,65,50,64,43,0.5,9,,Wartortle,,,,,,,
Wartortle,8,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F008%20Wartortle.jpg?alt=media&token=4228fc01-82d0-49be-9839-81712c4c992c,Water,,,59,63,80,65,80,58,1,22.5,Squirtle,Blastoise,,,,,,,
Blastoise,9,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F009%20Blastoise.jpg?alt=media&token=40f85d81-6bf7-4a91-9f9c-861fb1ad0001,Water,,,79,83,100,85,105,78,1.6,85.5,Wartortle,Mega Blastoise,,,,,,,
Mega Blastoise,9,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F009.5%20Mega%20Blastoise.jpg?alt=media&token=0ca15cbf-6460-49a3-993a-3e38f6c46867,Water,,,79,103,120,135,115,78,1.6,85.5,Blastoise,,,,,,,,
Caterpie,10,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F010%20Caterpie.jpg?alt=media&token=757b6b7c-dbe3-4332-ac66-6be2cfa6f3cf,Bug,,,45,30,35,20,20,45,0.3,0.9,,Metapod,,,,,,,
Metapod,11,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F011%20Metapod.jpg?alt=media&token=14d69052-a3c5-4e02-bc0a-335bbc6aee3a,Bug,,,50,20,55,25,25,30,0.7,9.9,Caterpie,Butterfree,,,,,,,
Butterfree,12,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F012%20Butterfree.jpg?alt=media&token=b49f2165-fe82-4f25-a00e-2c81057c941f,Bug,Flying,,60,45,50,90,80,70,1.1,32,Metapod,,,,,,,,
Weedle,13,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F013%20Weedle.jpg?alt=media&token=de81213f-332a-4567-9f35-52813f8b7119,Bug,Poison,,40,35,30,20,20,50,0.3,3.2,,Kakuna,,,,,,,
Kakuna,14,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F014%20Kakuna.jpg?alt=media&token=a00ed3cf-4427-43a3-93ba-e2ee9a1f5464,Bug,Poison,,45,25,50,25,25,35,0.6,10,Weedle,Beedrill,,,,,,,
Beedrill,15,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F015%20Beedrill.jpg?alt=media&token=a23b396a-8050-40bf-975a-db28403347cf,Bug,Poison,,65,90,40,45,80,75,1,29.5,Kakuna,Mega Beedrill,,,,,,,
Mega Beedrill,15,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F015.5%20Mega%20Beedrill.jpg?alt=media&token=f7af0bfb-093f-4002-a5ee-662aa488f480,Bug,Poison,,65,150,40,15,80,145,1.4,40.5,Beedrill,,,,,,,,
Pidgey,16,https://firebasestorage.googleapis.com/v0/b/dima-gundam.appspot.com/o/Pokemon%2F016%20Pidgey.jpg?alt=media&token=cdc9e408-5d53-4b27-aa01-80daec5cd637,Normal,Flying,,40,45,40,35,35,56,0.3,1.8,,Pidgeotto,,,,,,,
